"G1","G2","C","A","Bx","By","Bz","Error_G1","Error_G2","Error_C","Error_A","Error_Bx","Error_By","Error_Bz","MSE","Laser_Power","Laser_Detuning","Temp","PP"
0.15262,0.11174,0.98633,0.0021845,322.2,-144.23,-84.866,4.2936e-06,6.7825e-06,1.388e-10,4.9354e-10,30.82,33.085,9.4224,2.3538e-07,299.090909,-21.818182,59,0.0050761
31.103,44.012,0.98626,0.0020208,319.73,-118.07,-43.863,100.5,197.27,1.3847e-10,9.5391e-10,41.835,38.527,21.904,2.7725e-07,324.545455,-21.818182,59,0.0040609
79.362,128.55,0.98584,0.0021106,325.17,-118.82,-235.51,59.728,133.69,1.6606e-10,9.5147e-10,37.564,36.134,29.118,2.8047e-07,350,-21.818182,59,0.0050813
113.93,447.56,1.0076,0.0041267,337.69,-134.57,953.04,53.772,233.25,8.5185e-10,2.3025e-09,29.549,29.396,867.83,8.1294e-07,70,-17.272727,59,0.0099602
33.577,36.332,1.0072,0.0046416,327.65,-95.828,-172.52,43.245,49.781,2.2931e-10,1.1048e-09,12.699,11.229,5.2693,4.1533e-07,95.454545,-17.272727,59,0.0069583
75.002,152.49,1.0084,0.0041589,315.47,-121.28,196.35,13.341,44.98,1.7961e-10,1.3434e-09,10.774,10.567,10.484,3.2508e-07,120.909091,-17.272727,59,0.0069513
121.95,206.03,1.0099,0.003658,312.7,-113.68,199.4,26.317,50.507,2.4227e-10,1.1518e-09,14.711,14.547,14.157,3.3501e-07,146.363636,-17.272727,59,0.0059465
43.702,59.568,1.0093,0.0043761,316.36,-106.26,14.536,23.841,42.78,1.5832e-10,9.9062e-10,9.3836,8.577,4.9108,2.956e-07,171.818182,-17.272727,59,0.0069444
55.72,74.65,1.0102,0.0041993,316.9,-103.79,119.22,24.863,42.069,1.7691e-10,1.0074e-09,10.806,10.008,5.9418,3.1396e-07,197.272727,-17.272727,59,0.0079365
65.714,144.08,1.0117,0.0038612,318.67,-126.21,-1.1717,11.389,45.471,1.3649e-10,1.2513e-09,9.98,9.7709,9.4236,2.6296e-07,222.727273,-17.272727,59,0.0059406
56.88,85.221,1.0118,0.0040194,313.64,-136.69,-69.954,18.931,39.446,1.4505e-10,9.423e-10,9.4813,9.7027,6.0233,2.6554e-07,248.181818,-17.272727,59,0.0059406
41.779,67.148,1.0118,0.004154,316.78,-111.91,-33.946,16.52,40.861,1.2928e-10,9.8029e-10,8.8965,8.1772,5.4578,2.5763e-07,273.636364,-17.272727,59,0.0059347
91.997,141.25,1.0103,0.0048688,333.26,-110.72,-374.6,22.462,44.397,3.3615e-10,1.5181e-09,13.73,13.224,11.825,5.283e-07,299.090909,-17.272727,59,0.0079286
15.562,23.004,1.0086,0.0040824,316.16,-128.98,3.4289,89.179,194.48,1.372e-10,1.0152e-09,10.035,9.7957,5.148,2.8274e-07,324.545455,-17.272727,59,0.0069513
51.612,78.774,1.009,0.0040531,317.45,-114.79,101.3,21.497,47.149,1.6074e-10,1.0763e-09,10.919,10.158,6.6905,3.0111e-07,350,-17.272727,59,0.0059524
41.175,63.633,1.0156,0.0081809,327.73,-100.16,-96.123,16.774,38.653,4.3669e-10,3.0891e-09,7.8475,6.763,4.486,8.5129e-07,70,-12.727273,59,0.012833
57.704,99.195,1.0152,0.0076084,320.69,-116.22,-49.685,5.0729,13.581,1.7041e-10,1.2751e-09,3.2617,3.0528,2.2905,3.2174e-07,95.454545,-12.727273,59,0.0098619
46.461,83.102,1.0153,0.007672,322.33,-112.46,-16.297,5.5896,16.791,1.7569e-10,1.4564e-09,3.5421,3.1936,2.4197,3.5176e-07,120.909091,-12.727273,59,0.010859
72.808,135.57,1.0167,0.0076202,321.58,-112.69,75.346,5.4587,15.788,2.2129e-10,1.6331e-09,3.9412,3.7784,3.2325,3.9581e-07,146.363636,-12.727273,59,0.010837
70.057,117.3,1.0184,0.0075351,322.21,-127.85,83.183,7.7055,18.787,2.6685e-10,1.806e-09,4.8807,4.7461,3.5462,4.7377e-07,171.818182,-12.727273,59,0.010816
44.523,72.837,1.0199,0.0071588,317.19,-115.7,-50.144,5.9305,15.06,1.4803e-10,1.1278e-09,3.3907,3.1466,2.1568,2.9351e-07,197.272727,-12.727273,58,0.0088322
51.667,96.285,1.0204,0.0071767,319.95,-124.21,-35.556,4.5386,14.47,1.4037e-10,1.183e-09,3.1323,2.9788,2.3312,2.7833e-07,222.727273,-12.727273,58,0.0098232
53.565,102.47,1.0209,0.0071221,318.38,-117.28,-35.739,4.7118,15.631,1.5218e-10,1.3059e-09,3.433,3.2326,2.6433,3.0126e-07,248.181818,-12.727273,58,0.0098135
66.153,127.2,1.0207,0.007176,321.68,-112.21,-54.734,5.2739,16.67,1.9023e-10,1.5155e-09,3.9723,3.7682,3.2527,3.5403e-07,273.636364,-12.727273,58,0.0098135
59.579,139.64,1.0212,0.0068238,316.17,-109.34,-52.287,4.1962,19.46,1.6418e-10,1.6647e-09,4.0058,3.8266,3.9551,3.3061e-07,299.090909,-12.727273,57,0.0088235
34.428,50.673,1.0183,0.0074377,322.82,-112.38,-116.95,12.857,27.31,2.1875e-10,1.4982e-09,4.8317,4.2376,2.5926,4.3183e-07,324.545455,-12.727273,58,0.010816
45.875,76.203,1.0189,0.0068472,317.24,-118.32,-23.678,6.7427,17.616,1.5271e-10,1.1746e-09,3.7752,3.527,2.4399,3.0096e-07,350,-12.727273,58,0.0098328
76.792,130.73,1.0001,0.0029897,353.52,-125.09,-152.66,44.607,109.01,2.5975e-10,1.6608e-09,29.344,28.359,22.688,4.4614e-07,95.454545,-35.454545,76,0.006006
65.502,162.9,1.0175,0.012447,317.83,-124.17,41.732,2.4331,12.059,3.4393e-10,3.551e-09,2.4596,2.4099,2.6774,6.8042e-07,70,-8.181818,58,0.015748
65.236,139.33,1.0189,0.013028,320.05,-120.78,16.403,2.0225,7.7299,2.678e-10,2.3961e-09,1.7222,1.663,1.5712,5.1345e-07,95.454545,-8.181818,57,0.015717
54.372,114.24,1.02,0.013155,318.78,-119.18,-73.412,1.5533,6.1103,1.9265e-10,1.7996e-09,1.2878,1.2216,1.1032,3.8905e-07,120.909091,-8.181818,57,0.01472
64.063,132.12,1.0213,0.012848,319.96,-120.65,36.343,2.3003,8.325,2.8381e-10,2.4675e-09,1.8812,1.8112,1.6466,5.4333e-07,146.363636,-8.181818,57,0.016667
59.178,125.42,1.0239,0.012473,317.29,-122.97,-4.9555,2.0747,8.0906,2.4099e-10,2.2288e-09,1.7378,1.6831,1.5333,4.762e-07,171.818182,-8.181818,57,0.014663
65.126,154.21,1.0251,0.012782,318.74,-117.57,-16.39,1.7663,8.0598,2.5033e-10,2.4766e-09,1.6918,1.6361,1.7291,4.9045e-07,197.272727,-8.181818,57,0.014648
63.666,143.09,1.026,0.012526,318.74,-113.99,-100.84,1.4777,6.2431,1.9009e-10,1.7712e-09,1.3442,1.2885,1.3086,3.7126e-07,222.727273,-8.181818,57,0.013659
62.373,148.35,1.0258,0.012702,317.38,-112.77,-117.77,1.5264,7.1774,2.1332e-10,2.1053e-09,1.4872,1.4282,1.5447,4.247e-07,248.181818,-8.181818,57,0.014648
61.4,136.1,1.025,0.012735,318.04,-118.32,-106.85,1.6123,6.7452,2.0884e-10,1.9466e-09,1.444,1.3886,1.3739,4.1206e-07,273.636364,-8.181818,57,0.014648
51.759,116.35,1.0251,0.012632,318.02,-120.32,-73.22,1.4073,6.3434,1.7069e-10,1.7403e-09,1.2665,1.2051,1.1514,3.5535e-07,299.090909,-8.181818,57,0.013672
