"G1","G2","C","A","Bx","By","Bz","Error_G1","Error_G2","Error_C","Error_A","Error_Bx","Error_By","Error_Bz","MSE","Laser_Power","Laser_Detuning","Temp","PP"
101.2,221.01,1.7441,0.36986,333.06,-66.089,-210.34,0.43401,1.3968,5.0832e-08,3.2689e-07,0.33163,0.32887,0.4045,7.9367e-05,350,-13,99,0.22828
73.844,101.32,0.25676,0.040822,328.31,-67.987,-67.06,2.3436,3.93,1.9361e-09,1.0534e-08,1.1522,1.1367,0.68473,3.1918e-06,70,-8,99,0.18133
85.324,133.89,0.35999,0.07457,328.48,-71.215,-57.454,0.90983,1.8436,3.1226e-09,1.8262e-08,0.53433,0.5266,0.38166,5.0544e-06,95.454545,-8,98,0.22274
92.231,156.71,0.46657,0.11532,329.12,-70.068,-78.689,0.67992,1.5218,6.1702e-09,3.7004e-08,0.42883,0.42383,0.34534,9.8075e-06,120.909091,-8,98,0.25925
97.228,175.45,0.57219,0.15933,329.69,-69.936,-98.623,0.56602,1.3598,1.0433e-08,6.334e-08,0.3713,0.36737,0.32912,1.6317e-05,146.363636,-8,99,0.296
102.32,194.71,0.67562,0.20381,330.35,-70.863,-118.6,0.50621,1.285,1.5985e-08,9.7e-08,0.33895,0.33555,0.32982,2.449e-05,171.818182,-8,98,0.31791
107.06,211.78,0.78654,0.25276,330.4,-69.705,-136.3,0.47972,1.2582,2.3955e-08,1.4342e-07,0.32194,0.31898,0.33869,3.5875e-05,197.272727,-8,98,0.34337
109.52,228.51,0.8931,0.30128,330.69,-70.693,-152.01,0.43709,1.227,3.2124e-08,1.9431e-07,0.2996,0.29695,0.34434,4.7607e-05,222.727273,-8,98,0.35546
113.31,247.17,1.0086,0.35298,331.07,-68.923,-170.78,0.42806,1.2584,4.4244e-08,2.6432e-07,0.29368,0.29122,0.36948,6.4191e-05,248.181818,-8,98,0.37447
117.25,266.11,1.1218,0.40704,331.24,-69.839,-186.54,0.41637,1.2711,5.8188e-08,3.4103e-07,0.28315,0.28083,0.38887,8.2414e-05,273.636364,-8,98,0.38609
120.07,279.8,1.2248,0.45493,331.61,-69.046,-202.89,0.41843,1.3108,7.3821e-08,4.2374e-07,0.28217,0.27988,0.4147,0.00010261,299.090909,-8,98,0.39566
122.39,293.67,1.3245,0.50246,331.76,-68.823,-218.69,0.42839,1.3879,9.332e-08,5.2666e-07,0.28751,0.2852,0.45413,0.00012758,324.545455,-8,98,0.40468
127.66,314.19,1.4213,0.54619,331.32,-69.527,-228.94,0.42154,1.3789,1.0834e-07,5.8462e-07,0.27228,0.27007,0.46635,0.00014272,350,-8,99,0.41054
71.85,130.74,0.16702,0.068305,330.07,-69.648,-59.654,0.97111,2.7204,3.1081e-09,2.248e-08,0.68923,0.67877,0.54309,5.5295e-06,70,-4,98,0.44932
80.046,171.87,0.22765,0.12486,329.73,-70.679,-50.716,0.40052,1.4129,5.1886e-09,4.1531e-08,0.33342,0.32965,0.32845,9.1377e-06,95.454545,-4,98,0.56947
